timestamp,positive,negative
2014/5/29:8,0.127284542,-0.341866007
2014/5/29:9,0.140838287,-0.349940448
2014/5/29:10,0.150144278,-0.286264602
2014/5/29:11,0.179436213,-0.3106768
2014/5/29:12,0.191282179,-0.339399793
2014/5/29:13,0.163347543,-0.326760714
2014/5/29:14,0.174286152,-0.338249545
2014/5/29:15,0.162492587,-0.333241721
2014/5/29:16,0.154061679,-0.350222454
2014/5/29:17,0.161612045,-0.347498338
2014/5/29:18,0.170606445,-0.356491962
2014/5/29:19,0.156426955,-0.356472546
2014/5/29:20,0.157902761,-0.341658494
2014/5/29:21,0.166553699,-0.356600536
2014/5/29:22,0.15746648,-0.354336352
2014/5/29:23,0.146292223,-0.335021979
2014/5/30:0,0.157631531,-0.356632166
2014/5/30:1,0.162713806,-0.348358991
2014/5/30:2,0.158641146,-0.343507865
2014/5/30:3,0.159077015,-0.354725535
2014/5/30:4,0.162176219,-0.333790291
2014/5/30:5,0.174857925,-0.34818906
2014/5/30:6,0.145342278,-0.356421874
2014/5/30:7,0.153092338,-0.338908205
2014/5/30:8,0.146770827,-0.315996239
2014/5/30:9,0.187266725,-0.353576131
2014/5/30:10,0.167585094,-0.299562881
2014/5/30:11,0.185337973,-0.319932965
2014/5/30:12,0.186195061,-0.355659458
2014/5/30:13,0.174305731,-0.321166695
2014/5/30:14,0.16300177,-0.321122509
2014/5/30:15,0.16387571,-0.340747046
2014/5/30:16,0.164759071,-0.345999229
2014/5/30:17,0.159437106,-0.326923702
2014/5/30:18,0.166947726,-0.337027028
2014/5/30:19,0.165044553,-0.337182518
2014/5/30:20,0.160810443,-0.330242042
2014/5/30:21,0.155346985,-0.333513403
2014/5/30:22,0.157772664,-0.344477745
2014/5/30:23,0.151803249,-0.330218869
2014/5/31:0,0.165481065,-0.342449399
2014/5/31:1,0.152103768,-0.333484158
2014/5/31:2,0.159755127,-0.362620594
2014/5/31:3,0.149966121,-0.406087007
2014/5/31:4,0.152469352,-0.357261049
2014/5/31:5,0.157387143,-0.345518207
2014/5/31:6,0.163724339,-0.33906038
2014/5/31:7,0.171148312,-0.335837296
2014/5/31:8,0.146514506,-0.344302374
2014/5/31:9,0.128770613,-0.341878153
2014/5/31:10,0.153717115,-0.373002398
2014/5/31:11,0.169541138,-0.321134214
2014/5/31:12,0.172514271,-0.337619924
2014/5/31:13,0.172140353,-0.342084088
2014/5/31:14,0.192721621,-0.327225086
2014/5/31:15,0.164817348,-0.343053739
2014/5/31:16,0.156172713,-0.363646717
2014/5/31:17,0.162643499,-0.343840412
2014/5/31:18,0.147374428,-0.352062749
2014/5/31:19,0.160857167,-0.347374522
2014/5/31:20,0.145874075,-0.356528814
2014/5/31:21,0.150219047,-0.319729078
2014/5/31:22,0.161678545,-0.335072154
2014/5/31:23,0.150710938,-0.333391642
2014/6/1:0,0.148896045,-0.356775602
2014/6/1:1,0.153254318,-0.347354253
2014/6/1:2,0.156709129,-0.344460047
2014/6/1:3,0.149819143,-0.359626338
2014/6/1:4,0.152642473,-0.354546646
2014/6/1:5,0.162031817,-0.36003046
2014/6/1:6,0.152533435,-0.349675543
2014/6/1:7,0.147375906,-0.363063084
2014/6/1:8,0.148746746,-0.325673542
2014/6/1:9,0.141507465,-0.335073602
2014/6/1:10,0.122657577,-0.359139009
2014/6/1:11,0.119416009,-0.391718178
2014/6/1:12,0.162045547,-0.318814296
2014/6/1:13,0.193234416,-0.34948779
2014/6/1:14,0.166282786,-0.350622852
2014/6/1:15,0.164020121,-0.340739253
2014/6/1:16,0.16015717,-0.356892887
2014/6/1:17,0.164227465,-0.356322752
2014/6/1:18,0.160557059,-0.341257356
2014/6/1:19,0.154295736,-0.347491288
2014/6/1:20,0.160121589,-0.333465147
2014/6/1:21,0.153190466,-0.349492798
2014/6/1:22,0.14954533,-0.350440704
2014/6/1:23,0.143540457,-0.354812965
2014/6/2:0,0.142334636,-0.360137635
2014/6/2:1,0.148959517,-0.339818345
2014/6/2:2,0.148265271,-0.347942535
2014/6/2:3,0.155187484,-0.358348569
2014/6/2:4,0.164922478,-0.344478917
2014/6/2:5,0.161514402,-0.348325973
2014/6/2:6,0.153004604,-0.350606365
2014/6/2:7,0.148491817,-0.342588419
2014/6/2:8,0.145099132,-0.357294744
2014/6/2:9,0.139222902,-0.291268701
2014/6/2:10,0.153409715,-0.34475516
2014/6/2:11,0.161987377,-0.344109321
2014/6/2:12,0.173113587,-0.340943686
2014/6/2:13,0.167127879,-0.357541036
2014/6/2:14,0.172587765,-0.347225518
2014/6/2:15,0.164119388,-0.32413162
2014/6/2:16,0.161162007,-0.335926495
2014/6/2:17,0.156887154,-0.355205451
2014/6/2:18,0.152038521,-0.349725028
2014/6/2:19,0.159498944,-0.33399377
2014/6/2:20,0.154416739,-0.345952847
2014/6/2:21,0.155292838,-0.328827109
2014/6/2:22,0.153830337,-0.341655912
2014/6/2:23,0.158926234,-0.336998961
2014/6/3:0,0.161787944,-0.335221197
2014/6/3:1,0.179286332,-0.336507041
2014/6/3:2,0.152211112,-0.340982575
2014/6/3:3,0.147809251,-0.340371646
2014/6/3:4,0.15714156,-0.348122672
2014/6/3:5,0.159746943,-0.325549237
2014/6/3:6,0.143148691,-0.343968507
2014/6/3:7,0.141354721,-0.341247531
2014/6/3:8,0.149069389,-0.320694145
2014/6/3:9,0.133050712,-0.330484393
2014/6/3:10,0.178136946,-0.318206492
2014/6/3:11,0.159238577,-0.33633505
2014/6/3:12,0.18635975,-0.321057528
2014/6/3:13,0.159874948,-0.341733202
2014/6/3:14,0.172725484,-0.326868083
2014/6/3:15,0.163424831,-0.323333116
2014/6/3:16,0.157192886,-0.346783517
2014/6/3:17,0.17373408,-0.339512511
2014/6/3:18,0.162907514,-0.332002134
2014/6/3:19,0.158405387,-0.350104801
2014/6/3:20,0.151729498,-0.340148759
2014/6/3:21,0.152295786,-0.324233853
2014/6/3:22,0.163859364,-0.350597281
2014/6/3:23,0.15413716,-0.353857116
2014/6/4:0,0.144070758,-0.345712856
2014/6/4:1,0.16100744,-0.35546419
2014/6/4:2,0.154568407,-0.349196919
2014/6/4:3,0.161443332,-0.349429284
2014/6/4:4,0.155129204,-0.34354392
2014/6/4:5,0.168477382,-0.333355173
2014/6/4:6,0.154415569,-0.360580411
2014/6/4:7,0.140620792,-0.347788757
2014/6/4:8,0.147179941,-0.352799061
2014/6/4:9,0.152878248,-0.332502412
2014/6/4:10,0.149279158,-0.327472222
2014/6/4:11,0.1644895,-0.326703817
2014/6/4:12,0.167388735,-0.331847208
2014/6/4:13,0.166112809,-0.34180037
2014/6/4:14,0.168656683,-0.324761351
2014/6/4:15,0.158490012,-0.336671878
2014/6/4:16,0.158219306,-0.345138815
2014/6/4:17,0.152007346,-0.340570361
2014/6/4:18,0.17066534,-0.345111757
2014/6/4:19,0.153733655,-0.340394123
2014/6/4:20,0.160301301,-0.347159
2014/6/4:21,0.162931685,-0.335864613
2014/6/4:22,0.151302095,-0.345060714
2014/6/4:23,0.158468567,-0.349193379
2014/6/5:0,0.162222723,-0.358566244
2014/6/5:1,0.161439336,-0.344171849
2014/6/5:2,0.158425607,-0.342053062
2014/6/5:3,0.159399579,-0.363704401
2014/6/5:4,0.153274957,-0.343103361
2014/6/5:5,0.169797297,-0.336933642
2014/6/5:6,0.185463409,-0.370557431
2014/6/5:7,0.163356213,-0.353584771
2014/6/5:8,0.153872582,-0.29976827
2014/6/5:9,0.131366736,-0.344475497
2014/6/5:10,0.17646483,-0.293132392
2014/6/5:11,0.190058453,-0.332086808
2014/6/5:12,0.180506064,-0.323196724
2014/6/5:13,0.18118982,-0.327420521
2014/6/5:14,0.172260522,-0.327667291
2014/6/5:15,0.173066128,-0.344280194
2014/6/5:16,0.168546547,-0.331951418
2014/6/5:17,0.161420039,-0.33517569
2014/6/5:18,0.160422968,-0.349526669
2014/6/5:19,0.15762754,-0.335824904
2014/6/5:20,0.153475033,-0.339778398
2014/6/5:21,0.168182738,-0.345767129
2014/6/5:22,0.15738807,-0.346118643
2014/6/5:23,0.153540603,-0.344285895
